C and G combined frequency > 75% windows:
102860, 75.2
102861, 75.2
102862, 75.4
102863, 75.2
102873, 75.2
102890, 75.2
102891, 75.2
102892, 75.4
102893, 75.4
102894, 75.6
102895, 75.6
102896, 75.8
102897, 76
102898, 76
102899, 76.2
102900, 76.2
102901, 76
102902, 75.8
102903, 75.8
102904, 75.8
102905, 75.8
102906, 75.8
102907, 76
102908, 75.8
102909, 75.6
102910, 75.8
102911, 75.6
102912, 75.8
102913, 75.6
102914, 75.6
102915, 75.6
102916, 75.4
102917, 75.4
102918, 75.4
102919, 75.4
102920, 75.4
102921, 75.4
102922, 75.2
102923, 75.2
102925, 75.2
102926, 75.2
102927, 75.4
102928, 75.2
102929, 75.4
102930, 75.4
102931, 75.4
102932, 75.4
102933, 75.4
102934, 75.6
102935, 75.6
102936, 75.8
102937, 75.8
102938, 76
102939, 76
102940, 76
102941, 76.2
102942, 76.2
102943, 76
102944, 76
102945, 76
102946, 76
102947, 76.2
102948, 76.2
102949, 76.2
102950, 76.2
102951, 76.2
102952, 76.4
102953, 76.2
102954, 76.2
102955, 76.2
102956, 76
102957, 76
102958, 76
102959, 76
102960, 76.2
102961, 76.4
102962, 76.4
102963, 76.4
102964, 76.2
102965, 76.4
102966, 76.2
102967, 76.4
102968, 76.4
102969, 76.6
102970, 76.6
102971, 76.6
102972, 76.6
102973, 76.8
102974, 76.8
102975, 76.8
102976, 77
102977, 77
102978, 77.2
102979, 77.2
102980, 77.2
102981, 77.4
102982, 77.2
102983, 77.2
102984, 77.2
102985, 77.4
102986, 77.4
102987, 77.6
102988, 77.6
102989, 77.8
102990, 77.8
102991, 77.6
102992, 77.4
102993, 77.4
102994, 77.4
102995, 77.4
102996, 77.4
102997, 77.4
102998, 77.2
102999, 77.2
103000, 77.2
103001, 77
103002, 77
103003, 76.8
103004, 77
103005, 77
103006, 77.2
103007, 77.2
103008, 77.4
103009, 77.4
103010, 77.6
103011, 77.6
103012, 77.4
103013, 77.6
103014, 77.4
103015, 77.6
103016, 77.6
103017, 77.8
103018, 78
103019, 78.2
103020, 78.4
103021, 78.4
103022, 78.4
103023, 78.4
103024, 78.6
103025, 78.6
103026, 78.8
103027, 78.8
103028, 78.6
103029, 78.4
103030, 78.6
103031, 78.4
103032, 78.4
103033, 78.4
103034, 78.6
103035, 78.6
103036, 78.4
103037, 78.4
103038, 78.2
103039, 78.2
103040, 78
103041, 78
103042, 78
103043, 77.8
103044, 78
103045, 78
103046, 78.2
103047, 78.2
103048, 78.4
103049, 78.2
103050, 78.4
103051, 78.4
103052, 78.4
103053, 78.6
103054, 78.6
103055, 78.8
103056, 78.8
103057, 78.8
103058, 79
103059, 79
103060, 78.8
103061, 78.8
103062, 78.8
103063, 78.6
103064, 78.8
103065, 78.8
103066, 78.8
103067, 78.8
103068, 79
103069, 78.8
103070, 78.8
103071, 78.6
103072, 78.6
103073, 78.6
103074, 78.8
103075, 78.6
103076, 78.6
103077, 78.6
103078, 78.6
103079, 78.6
103080, 78.4
103081, 78.4
103082, 78.4
103083, 78.4
103084, 78.6
103085, 78.4
103086, 78.6
103087, 78.6
103088, 78.6
103089, 78.6
103090, 78.8
103091, 78.8
103092, 78.8
103093, 78.8
103094, 78.6
103095, 78.6
103096, 78.6
103097, 78.6
103098, 78.8
103099, 78.8
103100, 78.6
103101, 78.4
103102, 78.6
103103, 78.6
103104, 78.8
103105, 78.8
103106, 78.8
103107, 78.6
103108, 78.4
103109, 78.4
103110, 78.2
103111, 78
103112, 78
103113, 77.8
103114, 78
103115, 77.8
103116, 77.6
103117, 77.4
103118, 77.6
103119, 77.6
103120, 77.6
103121, 77.6
103122, 77.6
103123, 77.4
103124, 77.4
103125, 77.2
103126, 77.2
103127, 77.2
103128, 77
103129, 77
103130, 77.2
103131, 77
103132, 76.8
103133, 76.6
103134, 76.6
103135, 76.6
103136, 76.4
103137, 76.4
103138, 76.2
103139, 76.2
103140, 76.2
103141, 76.2
103142, 76.2
103143, 76.2
103144, 76.2
103145, 76
103146, 75.8
103147, 75.8
103148, 76
103149, 76
103150, 76
103151, 76
103152, 76
103153, 76
103154, 76
103155, 75.8
103156, 75.6
103157, 75.6
103158, 75.4
103159, 75.2

Frequencies without unidentified:
A: 28.2002%
T: 26.3782%
C: 22.658%
G: 22.7636%

Frequencies with unidentified:
A: 28.2002%
T: 26.3782%
C: 22.658%
G: 22.7636%
N: 0%
